City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Antofagasta,CL,-23.65,-70.4,65.48,80,75,5.79,broken clouds
213,Mount Isa,AU,-20.7333,139.5,89.37,45,100,13.8,overcast clouds
214,Luocheng,CN,29.3848,104.0286,47.64,92,100,0.87,overcast clouds
215,Inhambane,MZ,-23.865,35.3833,76.17,68,96,13.73,light rain
216,Khaga,IN,25.7833,81.1167,56.64,68,96,5.57,overcast clouds
217,Poronaysk,RU,49.2167,143.1167,14.2,76,29,3.89,scattered clouds
218,Novyy Urengoy,RU,66.0833,76.6333,-0.51,97,60,10.29,broken clouds
219,Isangel,VU,-19.55,169.2667,87.91,79,40,4.61,scattered clouds
220,Wilmington,US,34.2257,-77.9447,30.11,86,100,10.36,light rain
221,Ixtlahuacan Del Rio,MX,20.8667,-103.25,60.66,42,77,3.2,broken clouds
222,Washington,US,47.5001,-120.5015,40.08,84,67,3.42,broken clouds
223,Takoradi,GH,4.8845,-1.7554,77.38,75,1,2.86,clear sky
224,Hellvik,NO,59.9156,5.781,43.77,95,100,1.01,overcast clouds
225,Peniche,PT,39.3558,-9.3811,47.44,67,49,16.28,scattered clouds
226,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.1,96,32,1.07,scattered clouds
227,Daru,PG,-9.0763,143.2092,85.6,69,42,4.54,scattered clouds
228,Klaksvik,FO,62.2266,-6.589,45.52,83,100,26.8,overcast clouds
229,Diamantino,BR,-14.4086,-56.4461,73.09,89,100,3.22,overcast clouds
230,Muros,ES,42.7762,-9.0603,47.23,65,0,9.28,clear sky
231,Kerur,IN,16.0167,75.5667,71.31,41,26,4.81,scattered clouds
232,Jiaocheng,CN,24.6774,116.1389,57.63,95,100,2.04,light rain
233,Kaka,TM,37.3482,59.6143,33.06,81,93,3.89,overcast clouds
234,Patiya,BD,22.2931,91.9762,66.15,72,8,0.0,haze
235,Alegrete,BR,-29.7831,-55.7919,87.76,44,65,9.1,broken clouds
236,Zeya,RU,53.75,127.2667,-1.73,80,8,2.06,clear sky
237,Strezhevoy,RU,60.7333,77.5889,12.18,90,100,7.52,overcast clouds
238,Ostrovnoy,RU,68.0531,39.5131,15.01,82,99,6.31,overcast clouds
239,Henties Bay,NA,-22.116,14.2845,70.86,82,100,3.83,overcast clouds
240,Stabat,ID,3.761,98.4513,84.4,73,33,1.74,scattered clouds
241,Pryyutivka,UA,48.7209,33.0708,22.48,91,96,12.8,overcast clouds
242,Marsh Harbour,BS,26.5412,-77.0636,74.84,84,9,10.69,clear sky
