City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
193,Noumea,NC,84.99,light rain,-22.2763,166.4572,Hôtel Le Lagon
199,Srandakan,ID,82.44,overcast clouds,-7.9386,110.2506,Puri Brata
200,Ugoofaaru,MV,79.75,scattered clouds,5.6667,73.0,Ungoofaaru Inn
202,Mana,GF,75.52,overcast clouds,5.6592,-53.7767,LE SAMANA
205,Cidreira,BR,76.96,few clouds,-30.1811,-50.2056,Hotel Castelo
210,Kroya,ID,82.13,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
215,Inhambane,MZ,76.17,light rain,-23.865,35.3833,Oceano
223,Takoradi,GH,77.38,clear sky,4.8845,-1.7554,Raybow International Hotel
240,Stabat,ID,84.4,scattered clouds,3.761,98.4513,Link VII damai
250,Maceio,BR,78.24,clear sky,-9.6658,-35.7353,Poutur Pousada
261,Pyapon,MM,77.14,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
264,Caico,BR,80.11,broken clouds,-6.4583,-37.0978,Pousada Paraíso do Seridó
272,Wanning,CN,76.17,scattered clouds,18.8003,110.3967,Paradise Hotel
275,Port Blair,IN,82.44,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
276,Rio Grande,BR,80.71,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
291,Mitsamiouli,KM,77.29,light rain,-11.3847,43.2844,Foyer ADM
295,Saint-Joseph,RE,80.98,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
298,Prado,BR,75.15,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
302,Lahaina,US,78.94,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
306,Flic En Flac,MU,83.52,scattered clouds,-20.2742,57.3631,Hilton Mauritius Resort & Spa
313,Manggar,ID,84.7,overcast clouds,-2.8833,108.2667,Guest Hotel
343,Souillac,MU,83.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
348,Muisne,EC,75.24,broken clouds,0.6,-80.0333,Quinta Samay
354,Taree,AU,79.07,broken clouds,-31.9,152.4667,All Seasons Country Lodge Taree
361,Launceston,AU,84.61,haze,-41.45,147.1667,Hotel Grand Chancellor Launceston
365,Vao,NC,79.54,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
369,Saint-Pierre,RE,82.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
371,Anito,PH,78.37,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
376,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
381,Kingaroy,AU,79.05,broken clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
390,Oranjestad,AW,80.55,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
396,Miri,MY,82.54,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
400,Maragogi,BR,78.55,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
401,Banda Aceh,ID,82.17,few clouds,5.5577,95.3222,Sulthan Hotel International
404,Sinnamary,GF,76.26,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
413,Byron Bay,AU,76.89,broken clouds,-28.65,153.6167,Backpackers Inn
415,Phayakkhaphum Phisai,TH,79.32,scattered clouds,15.5163,103.1937,โรงแรมบ้านนงนุชโฮเตล
417,Agustin Codazzi,CO,80.58,scattered clouds,10.0341,-73.2361,Hotel perija
420,May Pen,JM,78.01,clear sky,17.9645,-77.2451,Mus Com Bac
