City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
409,Iralaya,HN,77.25,15.0,-83.2333,Iglesia morava renovada
425,Sarangani,PH,81.27,5.4033,125.4636,Ballistic Islet
434,Poum,NC,81.77,-20.2333,164.0167,Gîte kajeon
435,Alofi,NU,85.89,-19.0595,-169.9187,Taloa Heights
440,Nabire,ID,86.2,-3.3667,135.4833,Hotel Nusantara Nabire
442,Maceio,BR,78.24,-9.6658,-35.7353,Poutur Pousada
445,Altamira,BR,75.31,-3.2033,-52.2064,Requinte Hotel
448,Lazaro Cardenas,MX,76.26,17.9583,-102.2,quinta antigua
449,Padang,ID,80.65,-0.9492,100.3543,Mercure Padang
452,Pekan,MY,78.91,3.4836,103.3996,Pekan Budget Hotel
463,Samarai,PG,84.96,-10.6167,150.6667,Nuli Sapi
467,Yulara,AU,82.24,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
475,Vila Velha,BR,80.55,-20.3297,-40.2925,Quality Suites Vila Velha
477,Orocue,CO,82.67,4.7912,-71.3354,Hotel Brisas de San Miguel
480,Mancora,PE,77.13,-4.1078,-81.0475,Máncora Marina Hotel
485,Cayenne,GF,77.04,4.9333,-52.3333,Hôtel Le Dronmi
487,Moron,AR,80.02,-34.6534,-58.6198,Hotel Morón
488,Mitsamiouli,KM,79.84,-11.3847,43.2844,Foyer ADM
489,Kununurra,AU,89.58,-15.7667,128.7333,Hotel Kununurra
493,Maningrida,AU,87.76,-12.0667,134.2667,Dhukurrdji Lodge
494,Tutoia,BR,82.38,-2.7619,-42.2744,Pousada Guará's
499,Limpapa,PH,81.73,7.1197,121.9106,The Ranch ZC
516,Sola,VU,83.97,-13.8833,167.55,Leumerus Bungalows
517,Tevaitoa,PF,81.19,-16.7833,-151.5,Hôtel Raiatea Lodge
521,San Andres,CO,82.42,12.5847,-81.7006,Hotel Arena Blanca
522,Hervey Bay,AU,79.03,-25.2986,152.8535,Shelly Bay Resort
527,Palmares Do Sul,BR,77.34,-30.2578,-50.5097,Restaurante e Pensão Lopes
535,Isangel,VU,84.31,-19.55,169.2667,Tanna Lodge
545,Caravelas,BR,75.15,-17.7125,-39.2481,Pousada dos Navegantes
548,Lumut,MY,79.16,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
