City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Elizabethton,US,2022-01-21 01:49:11,36.3487,-82.2107,34.12,82,100,0.0
144,Georgetown,MY,2022-01-21 01:49:11,5.4112,100.3354,82.33,83,20,5.01
145,Lavrentiya,RU,2022-01-21 01:49:12,65.5833,-171.0,-17.36,93,5,11.65
146,Upernavik,GL,2022-01-21 01:49:12,72.7868,-56.1549,-2.61,94,100,11.45
147,Klaksvik,FO,2022-01-21 01:49:12,62.2266,-6.589,45.52,85,100,24.87
148,Aberdeen,GB,2022-01-21 01:47:40,57.1437,-2.0981,42.49,75,100,6.91
149,Zhangjiakou,CN,2022-01-21 01:49:13,40.81,114.8794,14.34,81,99,3.0
150,Barrow,US,2022-01-21 01:48:28,71.2906,-156.7887,-20.18,76,20,4.61
151,Pevek,RU,2022-01-21 01:49:13,69.7008,170.3133,-34.76,96,20,1.66
152,Vardo,NO,2022-01-21 01:49:13,70.3705,31.1107,30.18,72,99,31.59
153,Katobu,ID,2022-01-21 01:49:13,-4.9408,122.5276,77.18,88,100,7.76
154,Marihatag,PH,2022-01-21 01:49:14,8.7936,126.2969,81.99,72,90,7.54
155,Mahibadhoo,MV,2022-01-21 01:49:14,3.7833,72.9667,80.56,71,89,5.93
156,Aswan,EG,2022-01-21 01:48:30,24.0934,32.907,43.9,49,0,5.75
157,Kaitangata,NZ,2022-01-21 01:48:36,-46.2817,169.8464,63.93,62,94,10.76
158,Dhemaji,IN,2022-01-21 01:49:14,27.4833,94.5833,57.27,60,99,2.35
159,Sao Joao Da Barra,BR,2022-01-21 01:49:14,-21.6403,-41.0511,75.76,87,0,7.96
160,Pitimbu,BR,2022-01-21 01:49:15,-7.4706,-34.8086,79.39,79,17,8.05
161,Bulgan,MN,2022-01-21 01:48:28,48.8125,103.5347,4.32,98,95,0.13
162,Brae,GB,2022-01-21 01:49:15,60.3964,-1.353,46.31,93,100,21.05
163,Tres Arroyos,AR,2022-01-21 01:49:15,-38.3739,-60.2798,69.67,90,57,14.88
164,Pisco,PE,2022-01-21 01:49:15,-13.7,-76.2167,68.02,93,67,6.29
165,Vestmannaeyjar,IS,2022-01-21 01:49:16,63.4427,-20.2734,46.63,89,99,28.77
166,Vila,PT,2022-01-21 01:49:16,42.0304,-8.1588,34.68,89,2,4.41
167,Komsomolskiy,UZ,2022-01-21 01:49:16,40.4272,71.7189,29.62,80,0,6.91
168,Srednekolymsk,RU,2022-01-21 01:49:16,67.45,153.6833,-39.17,99,54,6.26
169,Walvis Bay,NA,2022-01-21 01:49:17,-22.9575,14.5053,69.1,88,100,3.44
170,Atuona,PF,2022-01-21 01:49:17,-9.8,-139.0333,78.89,79,41,23.49
171,Petropavlovsk-Kamchatskiy,RU,2022-01-21 01:49:17,53.0452,158.6483,27.19,54,75,4.47
